complex_names,EF_max,0.002,0.01,0.02,0.05,0.1,0.15,0.2,name
1AZS,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1CGI,2.0,2.0,1.0,1.5,1.8,1.894736842105263,1.8571428571428572,1.7837837837837838,
1CLV,2.0,2.0,2.0,2.0,1.7333333333333334,1.7333333333333334,1.7333333333333334,1.7666666666666666,
1DE4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1E6E,2.0,0.0,0.0,1.0,1.0,1.5,1.6363636363636365,1.6,
1F51,2.0,2.0,2.0,2.0,2.0,2.0,1.3333333333333333,1.0,
1FAK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1FLE,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1HCF,2.0,0.0,0.0,1.0,1.3333333333333333,1.3333333333333333,1.5555555555555556,1.6363636363636365,
1HE8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
1KTZ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1KXQ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1LFD,2.0,0.0,0.0,0.0,1.0,1.25,1.1666666666666667,1.25,
1M10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1VFB,2.0,2.0,2.0,2.0,2.0,2.0,1.8333333333333333,1.5,
1WDW,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1ZM4,2.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.5,
2A5T,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2B42,2.0,0.0,0.0,0.0,1.0,1.1428571428571428,1.4,1.5384615384615385,
2FJU,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,
2HRK,2.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.6666666666666666,
2JEL,2.0,0.0,0.0,0.5,0.6666666666666666,1.3333333333333333,1.4615384615384615,1.4857142857142858,
2MTA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9090909090909092,
2O8V,2.0,0.0,0.0,0.0,0.0,0.6,0.6666666666666666,0.9,
2OOR,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
2OT3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
2PCC,2.0,0.0,0.0,1.0,1.0,0.8571428571428571,1.0,1.0769230769230769,
2SIC,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
7CEI,2.0,0.0,1.0,1.5,1.25,1.5,1.4166666666666667,1.4375,
1AK4,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
1B6C,2.0,0.0,0.0,1.0,1.2,1.2,1.0666666666666667,1.0,
1BVK,2.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.9090909090909091,0.8571428571428571,
1DFJ,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1E96,2.0,2.0,2.0,2.0,2.0,2.0,1.3333333333333333,1.5,
1F34,2.0,2.0,2.0,2.0,2.0,1.5,1.6666666666666667,1.7142857142857142,
1FFW,2.0,0.0,0.0,0.0,0.75,1.0666666666666667,1.2173913043478262,1.4,
1GP2,2.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,
1GXD,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1JIW,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1JK9,2.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,1.0,
1JPS,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1KAC,2.0,0.0,0.0,0.0,0.0,0.5,1.0,1.1428571428571428,
1KKL,2.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,
1OC0,2.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.9090909090909091,1.0,0.9523809523809523,
1OPH,2.0,0.0,0.0,1.0,1.6,1.2,1.4285714285714286,1.0526315789473684,
1PXV,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.6666666666666666,
1SBB,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
1T6B,2.0,0.0,0.0,0.0,1.0,1.3333333333333333,1.5,1.6,
1XU1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1YVB,2.0,2.0,2.0,2.0,2.0,1.75,1.8333333333333333,1.75,
1Z5Y,2.0,2.0,2.0,2.0,1.5,1.25,1.0909090909090908,1.2,
1ZHI,2.0,0.0,0.0,1.0,1.0,0.75,0.9090909090909091,1.0666666666666667,
2AJF,2.0,2.0,2.0,2.0,1.0,0.6666666666666666,1.0,1.2,
